Professor_Code,professor_name,Years_of_Experience,Field_of_Expertise,Past_Mentee_Performance,Behavior_Rating,Feedback_Rating,Contact_Email
P001,Leslie  Looney,9,Mobile Development,6.61,9.26,7.45,leslie..looney@univ.edu
P002,Leslie  Looney,17,Mobile Development,6.26,6.25,6.65,leslie..looney@univ.edu
P003,Leslie  Looney,13,Data Science,9.39,8.11,8.05,leslie..looney@univ.edu
P004,Leslie  Looney,10,Cybersecurity,8.87,6.83,7.95,leslie..looney@univ.edu
P005,Leslie  Looney,9,Data Science,7.45,5.05,6.32,leslie..looney@univ.edu
P006,Leslie  Looney,13,Data Science,7.04,7.85,6.63,leslie..looney@univ.edu
P007,Leslie  Looney,13,Web Development,6.99,6.97,6.54,leslie..looney@univ.edu
P008,Leslie  Looney,6,Cybersecurity,6.62,8.9,8.0,leslie..looney@univ.edu
P009,Leslie  Looney,10,Web Development,4.75,9.7,8.51,leslie..looney@univ.edu
P010,Leslie  Looney,5,Cybersecurity,7.05,6.9,8.62,leslie..looney@univ.edu
P011,Leslie  Looney,4,Mobile Development,9.43,6.32,6.39,leslie..looney@univ.edu
P012,Leslie  Looney,14,AI/ML,7.35,7.89,5.64,leslie..looney@univ.edu
P013,Leslie  Looney,8,AI/ML,6.26,8.46,6.95,leslie..looney@univ.edu
P014,Leslie  Looney,4,Cybersecurity,7.31,8.78,8.19,leslie..looney@univ.edu
P015,Leslie  Looney,3,AI/ML,6.74,10.0,6.19,leslie..looney@univ.edu
P016,Leslie  Looney,14,Data Science,5.81,9.75,8.42,leslie..looney@univ.edu
P017,Leslie  Looney,14,Mobile Development,5.66,7.98,5.12,leslie..looney@univ.edu
P018,Leslie  Looney,19,Mobile Development,7.04,10.0,9.0,leslie..looney@univ.edu
P019,Leslie  Looney,12,AI/ML,5.25,9.3,7.45,leslie..looney@univ.edu
P020,Leslie  Looney,18,Cybersecurity,7.02,9.47,8.83,leslie..looney@univ.edu
P021,Jans  Wager,17,Data Science,6.9,10.0,7.72,jans..wager@univ.edu
P022,Jans  Wager,17,Cybersecurity,7.86,8.68,7.26,jans..wager@univ.edu
P023,Jans  Wager,14,AI/ML,6.81,8.28,7.94,jans..wager@univ.edu
P024,Jans  Wager,5,Mobile Development,5.74,8.5,9.38,jans..wager@univ.edu
P025,Jans  Wager,7,Mobile Development,7.18,7.95,5.96,jans..wager@univ.edu
P026,Jans  Wager,9,Cybersecurity,8.25,7.25,8.31,jans..wager@univ.edu
P027,Jans  Wager,11,Web Development,6.37,6.22,8.47,jans..wager@univ.edu
P028,Jans  Wager,9,Cybersecurity,8.93,9.7,7.3,jans..wager@univ.edu
P029,Jans  Wager,20,Web Development,7.14,9.77,6.57,jans..wager@univ.edu
P030,Jans  Wager,6,Cybersecurity,6.57,7.23,6.41,jans..wager@univ.edu
P031,Jans  Wager,16,Web Development,6.25,8.08,5.54,jans..wager@univ.edu
P032,Jans  Wager,20,Web Development,7.23,7.08,6.75,jans..wager@univ.edu
P033,Jans  Wager,11,Web Development,6.89,8.84,7.52,jans..wager@univ.edu
P034,Jans  Wager,4,Web Development,5.46,8.86,6.74,jans..wager@univ.edu
P035,Jans  Wager,17,Data Science,8.91,7.49,7.18,jans..wager@univ.edu
